index,names,corr,signal
660,MDEC.23,0.549058521795635,1
653,MLogP,0.545198963045016,1
588,LipoaffinityIndex,0.52491368329579,1
57,C1SP2,0.502403663091166,-1
12,nC,0.486774406831392,1
104,CrippenLogP,0.473760957565388,1
530,maxsOH,0.461918067585014,1
4,AMR,0.454518179554518,1
36,ATSp5,0.451413752755848,1
229,SwHBa,0.445722562628237,1
35,ATSp4,0.444362982811369,1
33,ATSp2,0.444306321444775,1
32,ATSp1,0.443921652855973,1
58,C2SP2,0.442918991411975,1
93,SP.5,0.442668471417866,1
5,apol,0.440493107530956,1
407,minsssN,0.438910024313343,1
707,nT6Ring,0.438324929482316,1
639,fragC,0.43702019447318,1
270,SaaCH,0.436388776939682,1
45,nBonds2,0.435050821435597,1
101,VP.5,0.435022560404722,1
43,BCUTp.1h,0.432881945271763,1
8,nAtom,0.431233872200668,1
34,ATSp3,0.429653027458067,1
526,maxsssN,0.429306720129351,1
685,n6Ring,0.42811106780551,1
586,hmin,0.426660642623581,-1
97,VP.1,0.426632271172895,1
46,nBondsS,0.426619999168713,1
411,minsOH,0.426559580584931,1
98,VP.2,0.424329098269082,1
132,nHaaCH,0.422646590116942,1
151,naaCH,0.422646590116942,1
654,McGowan_Volume,0.420673401783804,1
94,SP.6,0.420069642066537,1
100,VP.4,0.419608042710364,1
718,VABC,0.418730302296769,1
99,VP.3,0.415894421555188,1
659,MDEC.22,0.414585075798759,1
595,ETA_Alpha,0.413693026390494,1
137,nHother,0.413642806792524,1
95,SP.7,0.413152500036576,1
105,CrippenMR,0.41292315656478,1
102,VP.6,0.410848125114075,1
10,nH,0.409010880823978,1
44,nBonds,0.406009170002114,1
727,WPOL,0.405496090770127,1
729,Zagreb,0.404746601237876,1
721,WTPT.1,0.404021586626012,1
96,VP.0,0.403829194114025,1
624,ETA_Eta,0.403150472688592,1
90,SP.2,0.40180746966749,1
89,SP.1,0.401297598949336,1
631,ETA_Eta_R_L,0.401259370000701,1
103,VP.7,0.398734086632158,1
629,ETA_Eta_L,0.398441366884096,1
9,nHeavyAtom,0.397853974084164,1
719,VAdjMat,0.397853974084164,1
292,SsOH,0.396815080287,1
91,SP.3,0.396120519561964,1
674,MLFER_A,0.395833921362047,1
728,XLogP,0.395650408568388,1
92,SP.4,0.392244521235321,1
626,ETA_Eta_R,0.390672476067041,1
726,WPATH,0.388604133540545,1
88,SP.0,0.386249013345062,1
288,SsssN,0.385894898344121,1
24,ATSc3,0.383981238030321,-1
275,SaasC,0.382601221207296,1
606,ETA_dEpsilon_C,0.382564643157454,1
47,nBondsS2,0.381181235678567,1
106,ECCEN,0.379779107098676,1
602,ETA_Epsilon_4,0.377566557145265,-1
720,MW,0.374625567270681,1
110,nwHBa,0.373035379027879,1
25,ATSc4,0.372672254105067,1
647,Kier1,0.37174699252077,1
640,nHBAcc,0.37164372312061,-1
59,C3SP2,0.370666274470458,1
87,VPC.6,0.370056893292918,1
120,nHsOH,0.36783528935267,1
173,nsOH,0.36783528935267,1
505,maxssCH2,0.367219964965514,1
37,nBase,0.364798813701245,1
253,SHCsats,0.361516539641985,1
156,naasC,0.359041293718407,1
681,nRing,0.359028102882829,1
6,naAromAtom,0.357223623761814,1
251,SHaaCH,0.355497274287877,1
648,Kier2,0.353674999199772,1
256,SHother,0.353554890872083,1
134,nHCsats,0.351969128101165,1
532,maxssO,0.351118293776535,1
86,VPC.5,0.34974862666982,1
41,BCUTc.1h,0.348238499241447,-1
679,MLFER_L,0.348216895685794,1
54,bpol,0.347605442552207,1
174,ndO,0.342346436522155,-1
287,SaaN,0.342261686225571,-1
85,VPC.4,0.342220159264494,1
168,naaN,0.341910905976379,-1
616,ETA_Beta_s,0.341522697815271,1
31,ATSm5,0.340932998611068,1
28,ATSm2,0.34089058475642,1
7,nAromBond,0.339926007635928,1
30,ATSm4,0.338028814534002,1
293,SdO,0.336996766607837,-1
357,minHBint10,0.3358993369833,1
671,MDEN.22,0.334543079866964,-1
267,SssCH2,0.334523685400014,1
40,BCUTc.1l,0.334507305482944,-1
525,maxaaN,0.330206843470118,-1
413,minssO,0.328093935257107,1
48,nBondsS3,0.324875586417847,1
119,nHBint10,0.323084860246235,1
406,minaaN,0.323062702913421,-1
614,ETA_Beta,0.322117980287717,1
29,ATSm3,0.318908784775052,1
625,ETA_EtaP,0.317513666097625,1
491,maxHCsats,0.31749159801158,1
238,SHBint10,0.315501811912017,1
412,mindO,0.315031407413515,-1
60,C1SP3,0.312876915951567,1
583,sumI,0.312366590233212,1
627,ETA_Eta_F,0.311746712619001,1
604,ETA_dEpsilon_A,0.310334622921484,-1
649,Kier3,0.306644380739344,1
599,ETA_Epsilon_1,0.305577374573684,-1
476,maxHBint10,0.305412109532897,1
362,minHssNH,0.3014390985396,-1
481,maxHssNH,0.301169341315118,-1
600,ETA_Epsilon_2,0.300145519038901,-1
243,SHssNH,0.298242497233579,-1
148,nssCH2,0.295783266974712,1
169,nsssN,0.29565353143669,1
603,ETA_Epsilon_5,0.295283768711535,-1
50,nBondsD2,0.295279069016488,-1
239,SHsOH,0.295275029033133,1
611,ETA_Shape_P,0.295133677965467,-1
662,MDEC.33,0.294096158357086,1
78,VC.3,0.290746557042829,1
61,C2SP3,0.288254168524842,1
622,ETA_Beta_ns_d,0.286392570026121,1
176,naaO,0.285772615347985,-1
531,maxdO,0.284423456722371,-1
124,nHssNH,0.282006061492881,-1
163,nssNH,0.282006061492881,-1
295,SaaO,0.28099525111944,-1
509,maxsssCH,0.280528267653436,1
678,MLFER_E,0.280048297435844,1
152,nsssCH,0.279228962192013,1
533,maxaaO,0.279021952271401,-1
672,MDEN.23,0.278984841621938,-1
232,SHBint4,0.278623160466739,-1
414,minaaO,0.278329398369884,-1
508,maxaaCH,0.277294631819882,1
74,SC.3,0.273672979250025,1
294,SssO,0.269822354329554,1
80,VC.5,0.269616122121743,1
652,nAtomLAC,0.26886653103615,1
282,SssNH,0.26857505423338,-1
609,ETA_dPsi_A,0.263940729299736,-1
608,ETA_Psi_1,0.263939976315993,1
632,ETA_Eta_F_L,0.261862689506574,1
520,maxssNH,0.260929380820216,-1
401,minssNH,0.260484750352269,-1
722,WTPT.2,0.259054293575603,1
286,SdsN,0.256545841354653,-1
524,maxdsN,0.256440231060429,-1
405,mindsN,0.256439220195989,-1
636,ETA_Eta_B_RC,0.25607982717804,1
167,ndsN,0.255466675695776,-1
84,SPC.6,0.24987106843303,1
630,ETA_EtaP_L,0.243480751099224,1
82,SPC.4,0.241212760580898,1
351,minHBint4,0.240461709016048,-1
618,ETA_Beta_ns,0.235820642061703,1
386,minssCH2,0.235811883377865,1
72,VCH.6,0.235760332476165,1
477,maxHsOH,0.233503650482262,1
49,nBondsD,0.232472482722377,1
27,ATSm1,0.231702748229155,1
615,ETA_BetaP,0.227706785880267,-1
2,ALogP,0.227616952512079,1
633,ETA_EtaP_F_L,0.227283492503079,-1
53,nBondsM,0.224452435766521,1
83,SPC.5,0.221056216179802,1
704,nTRing,0.219945321543981,1
73,VCH.7,0.218192812647779,1
644,nHBDon,0.211033557890794,1
13,nN,0.209962963357491,-1
393,mindssC,0.207346398767337,1
708,nT7Ring,0.207202891545237,1
107,nHBd,0.207155461160767,1
155,ndssC,0.205802846503976,-1
686,n7Ring,0.20528483394808,1
715,nRotB,0.20347927191057,1
234,SHBint6,0.200987952337119,-1
676,MLFER_BO,0.196945093251917,1
617,ETA_BetaP_s,0.196489793642642,-1
513,maxaasC,0.196360584234433,1
619,ETA_BetaP_ns,0.195010795631428,-1
175,nssO,0.193529918929909,1
645,nHBDon_Lipinski,0.188671984938524,1
358,minHsOH,0.188193905825214,1
675,MLFER_BH,0.184588214239308,1
494,maxHother,0.184368876516321,-1
489,maxHaaCH,0.184054422945786,-1
467,maxwHBa,0.181628251070042,1
348,minwHBa,0.18122590019885,1
226,SHBd,0.179967349387928,1
635,ETA_EtaP_B,0.1796760181171,-1
111,nHBint2,0.179376345950458,-1
701,nF11Ring,0.179191119739633,1
